Job Title,Company,Resume File,Skills Found,Match %
Python Developer,Tech Solutions Inc.,sample_resume - Copy.pdf,"Python, SQL, Machine Learning",13.93
Python Developer,Tech Solutions Inc.,sample_resume.pdf,"Python, SQL, Machine Learning",13.93
Data Scientist,Insight Analytics,sample_resume - Copy.pdf,"Python, SQL",11.83
Data Scientist,Insight Analytics,sample_resume.pdf,"Python, SQL",11.83
Backend Developer,CloudCore Solutions,sample_resume - Copy.pdf,,11.74
Backend Developer,CloudCore Solutions,sample_resume.pdf,,11.74
Frontend Developer,PixelPerfect Studios,sample_resume - Copy.pdf,"HTML, CSS, JavaScript, React",16.45
Frontend Developer,PixelPerfect Studios,sample_resume.pdf,"HTML, CSS, JavaScript, React",16.45
Machine Learning Engineer,AI Innovators,sample_resume - Copy.pdf,"Python, SQL",17.56
Machine Learning Engineer,AI Innovators,sample_resume.pdf,"Python, SQL",17.56
Data Engineer,DataFlow Corp,sample_resume - Copy.pdf,"Python, SQL",14.38
Data Engineer,DataFlow Corp,sample_resume.pdf,"Python, SQL",14.38
DevOps Engineer,InfraTech,sample_resume - Copy.pdf,,5.79
DevOps Engineer,InfraTech,sample_resume.pdf,,5.79
Mobile App Developer,Appify,sample_resume - Copy.pdf,,9.57
Mobile App Developer,Appify,sample_resume.pdf,,9.57
Web Developer,CodeCraft,sample_resume - Copy.pdf,"HTML, CSS, JavaScript, MySQL",21.83
Web Developer,CodeCraft,sample_resume.pdf,"HTML, CSS, JavaScript, MySQL",21.83
Full Stack Developer,TechWave,sample_resume - Copy.pdf,"JavaScript, React",14.15
Full Stack Developer,TechWave,sample_resume.pdf,"JavaScript, React",14.15
